Date,Description,Amount,Transaction_Type,Category,Account_Name,Seasons
1/1/2018,Amazon,11.11,debit,Shopping,Platinum Card,Winter
1/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Winter
1/2/2018,Thai Restaurant,24.22,debit,Restaurants,Silver Card,Winter
1/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Winter
1/5/2018,American Tavern,25.85,debit,Restaurants,Silver Card,Winter
1/6/2018,Hardware Store,18.45,debit,Home Improvement,Silver Card,Winter
1/8/2018,Gas Company,45.0,debit,Utilities,Checking,Winter
1/8/2018,Hardware Store,15.38,debit,Home Improvement,Silver Card,Winter
1/9/2018,Spotify,10.69,debit,Music,Platinum Card,Winter
1/10/2018,Phone Company,89.46,debit,Mobile Phone,Checking,Winter
1/11/2018,Shell,34.87,debit,Gas & Fuel,Platinum Card,Winter
1/11/2018,Grocery Store,43.54,debit,Groceries,Platinum Card,Winter
1/13/2018,Pizza Place,32.91,debit,Fast Food,Platinum Card,Winter
1/13/2018,Amazon,39.05,debit,Shopping,Platinum Card,Winter
1/15/2018,Grocery Store,44.19,debit,Groceries,Silver Card,Winter
1/15/2018,American Tavern,64.11,debit,Restaurants,Silver Card,Winter
1/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Winter
1/16/2018,Power Company,60.0,debit,Utilities,Checking,Winter
1/20/2018,Amazon,50.21,debit,Shopping,Platinum Card,Winter
1/22/2018,Hardware Store,17.38,debit,Home Improvement,Silver Card,Winter
1/24/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Winter
1/25/2018,Internet Service Provider,69.99,debit,Internet,Checking,Winter
1/29/2018,Shell,30.42,debit,Gas & Fuel,Silver Card,Winter
1/29/2018,Thai Restaurant,25.0,debit,Restaurants,Silver Card,Winter
1/29/2018,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,Winter
2/1/2018,Grocery Store,27.79,debit,Groceries,Platinum Card,Winter
2/1/2018,Amazon,11.11,debit,Shopping,Platinum Card,Winter
2/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Winter
2/3/2018,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,Winter
2/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Winter
2/7/2018,Gas Company,65.0,debit,Utilities,Checking,Winter
2/9/2018,Barbershop,30.0,debit,Haircut,Platinum Card,Winter
2/9/2018,Spotify,10.69,debit,Music,Platinum Card,Winter
2/10/2018,Bojangles,10.66,debit,Fast Food,Platinum Card,Winter
2/11/2018,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,Winter
2/12/2018,Shell,36.47,debit,Gas & Fuel,Silver Card,Winter
2/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking,Winter
2/14/2018,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card,Winter
2/15/2018,American Tavern,10.0,debit,Restaurants,Platinum Card,Winter
2/15/2018,Power Company,60.0,debit,Utilities,Checking,Winter
2/16/2018,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,Winter
2/16/2018,City Water Charges,35.0,debit,Utilities,Checking,Winter
2/20/2018,Grocery Store,35.95,debit,Groceries,Silver Card,Winter
2/20/2018,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,Winter
2/21/2018,Starbucks,2.0,debit,Coffee Shops,Platinum Card,Winter
2/22/2018,Starbucks,4.0,debit,Coffee Shops,Silver Card,Winter
2/26/2018,Internet Service Provider,74.99,debit,Internet,Checking,Winter
2/26/2018,American Tavern,85.52,debit,Restaurants,Silver Card,Winter
2/26/2018,Gas Station,32.21,debit,Gas & Fuel,Silver Card,Winter
3/1/2018,Grocery Store,32.07,debit,Groceries,Silver Card,Winter
3/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Winter
3/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Winter
3/3/2018,Grocery Store,23.74,debit,Groceries,Silver Card,Winter
3/4/2018,Grocery Store,10.69,debit,Groceries,Platinum Card,Winter
3/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Winter
3/4/2018,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,Winter
3/5/2018,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Winter
3/7/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card,Winter
3/8/2018,BP,34.9,debit,Gas & Fuel,Platinum Card,Winter
3/8/2018,Gas Company,52.0,debit,Utilities,Checking,Winter
3/9/2018,Grocery Store,20.72,debit,Groceries,Platinum Card,Winter
3/9/2018,Grocery Store,5.09,debit,Groceries,Platinum Card,Winter
3/9/2018,Spotify,10.69,debit,Music,Platinum Card,Winter
3/12/2018,Grocery Store,19.35,debit,Groceries,Platinum Card,Winter
3/12/2018,Phone Company,89.52,debit,Mobile Phone,Checking,Winter
3/13/2018,Amazon,45.75,debit,Shopping,Platinum Card,Winter
3/14/2018,Grocery Store,22.5,debit,Groceries,Platinum Card,Winter
3/14/2018,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,Winter
3/15/2018,Starbucks,3.5,debit,Coffee Shops,Platinum Card,Winter
3/15/2018,Power Company,60.0,debit,Utilities,Checking,Winter
3/17/2018,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,Winter
3/17/2018,Pizza Place,23.34,debit,Fast Food,Platinum Card,Winter
3/19/2018,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,Winter
3/19/2018,City Water Charges,35.0,debit,Utilities,Checking,Winter
3/20/2018,Amazon,14.97,debit,Shopping,Platinum Card,Winter
3/22/2018,BP,30.55,debit,Gas & Fuel,Silver Card,Winter
3/23/2018,Grocery Store,11.76,debit,Groceries,Silver Card,Winter
3/26/2018,Internet Service Provider,74.99,debit,Internet,Checking,Winter
3/28/2018,Grocery Store,16.06,debit,Groceries,Silver Card,Winter
3/28/2018,Pizza Place,24.98,debit,Restaurants,Silver Card,Winter
3/29/2018,Steakhouse,17.64,debit,Restaurants,Silver Card,Winter
3/30/2018,Grocery Store,9.09,debit,Groceries,Silver Card,Winter
3/31/2018,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,Winter
3/31/2018,Chili's,24.74,debit,Restaurants,Platinum Card,Winter
3/31/2018,Greek Restaurant,41.16,debit,Restaurants,Silver Card,Winter
4/1/2018,Grocery Store,80.79,debit,Groceries,Platinum Card,Spring
4/1/2018,Brewing Company,59.48,debit,Restaurants,Platinum Card,Spring
4/1/2018,Amazon,13.13,debit,Shopping,Platinum Card,Spring
4/2/2018,Grocery Store,82.36,debit,Groceries,Platinum Card,Spring
4/2/2018,Hardware Store,13.89,debit,Home Improvement,Platinum Card,Spring
4/2/2018,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Spring
4/3/2018,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,Spring
4/4/2018,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Spring
4/6/2018,Chevron,4.58,debit,Gas & Fuel,Platinum Card,Spring
4/6/2018,Tiny Deli,9.76,debit,Restaurants,Platinum Card,Spring
4/8/2018,Irish Pub,22.0,debit,Restaurants,Platinum Card,Spring
4/9/2018,Blue Sky Market,6.48,debit,Groceries,Silver Card,Spring
4/9/2018,Spotify,10.69,debit,Music,Platinum Card,Spring
4/9/2018,Gas Company,30.0,debit,Utilities,Checking,Spring
4/11/2018,Phone Company,89.52,debit,Mobile Phone,Checking,Spring
